Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.480000, 0.042164
Armstrong-2002-v1, 0.667857, 0.062543
Bittner-2000, 0.466667, 0.070273
Chowdary-2006, 0.596364, 0.030665
Bredel-2005, 0.620000, 0.063246
Alizadeh-2000-v2, 0.676190, 0.020078
Nutt-2003-v2, 0.366667, 0.070273
Armstrong-2002-v2, 0.389286, 0.058805
Chen-2002, 0.581046, 0.027721
Pomeroy-2002-v1, 0.733333, 0.102439
Alizadeh-2000-v3, 0.323810, 0.020078
Nutt-2003-v3, 0.683333, 0.228387
Khan-2001_database, 0.350000, 0.040254
Lapointe-2004-v1, 0.566667, 0.057010
Nutt-2003-v1, 0.300000, 0.105409
Shipp-2002-v1, 0.753571, 0.039304
Golub-1999-v2, 0.528571, 0.060234
Laiho-2007_database, 0.791667, 0.112834
Gordon-2002, 0.828947, 0.013870
Pomeroy-2002-v2, 0.240000, 0.021082
Golub-1999-v1, 0.653571, 0.066921
Risinger-2003, 0.455000, 0.083166
West-2001, 0.430000, 0.067495
Garber-2001, 0.609524, 0.049181
Dyrskjot-2003, 0.500000, 0.000000
Bhattacharjee-2001, 0.685000, 0.019954
Singh-2002, 0.509091, 0.019165
Tomlins-2006-v2, 0.348889, 0.052168
Liang-2005, 0.775000, 0.184466
Tomlins-2006-v1, 0.309091, 0.049608
Lapointe-2004-v2, 0.372727, 0.028748
Yeoh-2002-v2, 0.318500, 0.010317
Yeoh-2002-v1, 0.826667, 0.018592
Su-2001, 0.166667, 0.031722
Ramaswamy-2001_database, 0.157895, 0.000000
