Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 1.000000, 450.000000
Bittner-2000, 1.000000, 806.000000
Bredel-2005, 0.500000, 888.000000
Armstrong-2002-v1, 1.000000, 505.000000
Armstrong-2002-v2, 1.000000, 599.000000
Chowdary-2006, 1.000000, 82.000000
Pomeroy-2002-v1, 1.000000, 321.000000
Nutt-2003-v2, 1.000000, 519.000000
Chen-2002, 1.000000, 37.000000
Alizadeh-2000-v2, 1.000000, 1013.000000
Alizadeh-2000-v3, 1.000000, 909.000000
Khan-2001_database, 1.000000, 495.000000
Nutt-2003-v1, 0.750000, 565.000000
Bhattacharjee-2001, 0.944444, 604.000000
Nutt-2003-v3, 1.000000, 575.000000
Lapointe-2004-v1, 1.000000, 734.000000
Pomeroy-2002-v2, 1.000000, 431.000000
Golub-1999-v2, 1.000000, 548.000000
Gordon-2002, 1.000000, 493.000000
Liang-2005, 1.000000, 671.000000
Golub-1999-v1, 1.000000, 577.000000
Ramaswamy-2001_database, 0.764706, 510.000000
Tomlins-2006-v1, 0.888889, 740.000000
Shipp-2002-v1, 1.000000, 257.000000
Risinger-2003, 0.333333, 633.000000
Laiho-2007_database, 1.000000, 1083.000000
Singh-2002, 0.888889, 60.000000
Su-2001, 0.866667, 463.000000
Lapointe-2004-v2, 1.000000, 1060.000000
Garber-2001, 0.666667, 2071.000000
Dyrskjot-2003, 1.000000, 528.000000
West-2001, 1.000000, 558.000000
Tomlins-2006-v2, 1.000000, 413.000000
Yeoh-2002-v2, 0.818182, 716.000000
Yeoh-2002-v1, 1.000000, 1304.000000
