Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1,0.905,0.123491
Alizadeh-2000-v2,0.983333,0.052705
Alizadeh-2000-v3,0.921429,0.114489
Armstrong-2002-v1,0.971429,0.060234
Armstrong-2002-v2,0.957143,0.069007
Bhattacharjee-2001,0.950476,0.057744
Bittner-2000,0.816667,0.174801
Bredel-2005,0.82,0.175119
Chen-2002,0.91634,0.070381
Chowdary-2006,0.911818,0.085178
Dyrskjot-2003,0.825,0.120761
Garber-2001,0.728571,0.136637
Golub-1999-v1,0.971429,0.060234
Golub-1999-v2,0.957143,0.069007
Gordon-2002,0.994444,0.017568
Khan-2001_database,0.879167,0.114914
Laiho-2007_database,0.916667,0.136083
Lapointe-2004-v1,0.72381,0.238412
Lapointe-2004-v2,0.7,0.148763
Liang-2005,0.85,0.210819
Nutt-2003-v1,0.74,0.21187
Nutt-2003-v2,0.883333,0.19325
Nutt-2003-v3,1,0
Pomeroy-2002-v1,0.916667,0.136083
Pomeroy-2002-v2,0.81,0.228279
Ramaswamy-2001_database,0.626316,0.103642
Risinger-2003,0.695,0.190686
Shipp-2002-v1,0.782143,0.145267
Singh-2002,0.713636,0.089817
Su-2001,0.907843,0.056745
Tomlins-2006-v1,0.788182,0.120837
Tomlins-2006-v2,0.692222,0.149627
West-2001,0.82,0.198886
Yeoh-2002-v1,0.955667,0.034989
Yeoh-2002-v2,0.660667,0.058643
