Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.840000, 0.198326
Armstrong-2002-v1, 0.858929, 0.213034
Bredel-2005, 0.780000, 0.113529
Bittner-2000, 0.791667, 0.163158
Armstrong-2002-v2, 0.957143, 0.096421
Alizadeh-2000-v2, 0.983333, 0.052705
Alizadeh-2000-v3, 0.852381, 0.145825
Chowdary-2006, 0.970909, 0.066501
Bhattacharjee-2001, 0.950714, 0.040204
Pomeroy-2002-v1, 0.708333, 0.261318
Nutt-2003-v2, 0.783333, 0.193250
Lapointe-2004-v1, 0.814286, 0.165643
Khan-2001_database, 0.927778, 0.100539
Chen-2002, 0.944444, 0.052378
Golub-1999-v2, 0.942857, 0.073771
Nutt-2003-v3, 0.800000, 0.269888
Liang-2005, 0.866667, 0.142725
Nutt-2003-v1, 0.640000, 0.295146
Pomeroy-2002-v2, 0.740000, 0.128668
Laiho-2007_database, 0.658333, 0.287201
Garber-2001, 0.742857, 0.118677
Gordon-2002, 0.977778, 0.038845
Golub-1999-v1, 0.917857, 0.114249
Risinger-2003, 0.810000, 0.102198
Singh-2002, 0.921818, 0.062721
Shipp-2002-v1, 0.883929, 0.072046
Dyrskjot-2003, 0.750000, 0.204124
Lapointe-2004-v2, 0.863636, 0.123091
West-2001, 0.840000, 0.157762
Ramaswamy-2001_database, 0.689474, 0.076270
Tomlins-2006-v2, 0.792222, 0.123289
Tomlins-2006-v1, 0.855455, 0.092357
Yeoh-2002-v2, 0.822833, 0.053253
Su-2001, 0.926144, 0.046015
Yeoh-2002-v1, 0.979667, 0.034657
