Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.750000, 14.000000
Bittner-2000, 0.666667, 39.000000
Armstrong-2002-v1, 0.285714, 4.000000
Alizadeh-2000-v2, 0.666667, 4.000000
Armstrong-2002-v2, 0.285714, 4.000000
Bredel-2005, 0.800000, 5.000000
Bhattacharjee-2001, 0.100000, 1.000000
Alizadeh-2000-v3, 0.333333, 3.000000
Chowdary-2006, 0.400000, 1.000000
Nutt-2003-v2, 0.500000, 2.000000
Pomeroy-2002-v1, 0.333333, 2.000000
Khan-2001_database, 0.250000, 3.000000
Lapointe-2004-v1, 0.333333, 15.000000
Golub-1999-v2, 0.285714, 1.000000
Liang-2005, 0.666667, 5.000000
Garber-2001, 0.666667, 15.000000
Nutt-2003-v1, 0.400000, 1.000000
Chen-2002, 0.705882, 3.000000
Nutt-2003-v3, 0.500000, 1.000000
Gordon-2002, 0.166667, 7.000000
Dyrskjot-2003, 0.250000, 4.000000
Laiho-2007_database, 0.666667, 3.000000
Golub-1999-v1, 0.714286, 2.000000
Lapointe-2004-v2, 0.363636, 3.000000
Pomeroy-2002-v2, 0.500000, 6.000000
Ramaswamy-2001_database, 0.157895, 1.000000
Tomlins-2006-v1, 0.400000, 4.000000
